Row,M_inf,theta_c_deg,beta_deg,M2,P2_P1,rho2_rho1,T2_T1,status
1,6.123056,5.908510,13.718674,5.289184,2.293401,1.779777,1.288589,1
2,9.346442,9.106896,NaN,NaN,NaN,NaN,NaN,0
3,10.881701,6.204593,10.228527,8.400051,4.189483,2.565086,1.633272,1
4,7.547179,9.315708,NaN,NaN,NaN,NaN,NaN,0
5,6.932314,8.066246,14.598431,5.526994,3.394990,2.274610,1.492559,1
6,6.710338,13.973717,NaN,NaN,NaN,NaN,NaN,0
7,6.781444,13.474161,NaN,NaN,NaN,NaN,NaN,0
8,11.452950,7.942450,NaN,NaN,NaN,NaN,NaN,0
9,11.616950,14.524407,NaN,NaN,NaN,NaN,NaN,0
10,6.386296,8.262276,15.425487,5.139657,3.199682,2.195520,1.457368,1
11,9.532088,10.628618,NaN,NaN,NaN,NaN,NaN,0
12,4.751930,8.349543,NaN,NaN,NaN,NaN,NaN,0
13,9.834656,9.361369,NaN,NaN,NaN,NaN,NaN,0
14,10.134273,5.864423,10.238599,8.079345,3.618980,2.361361,1.532583,1
15,4.546140,12.957515,NaN,NaN,NaN,NaN,NaN,0
16,11.373220,5.651053,9.510249,8.910985,3.952981,2.483466,1.591720,1
17,6.555630,5.619990,12.877700,5.662400,2.323805,1.795192,1.294460,1
18,7.222440,6.253639,12.653372,6.045976,2.753517,2.001607,1.375653,1
19,8.244203,12.973329,NaN,NaN,NaN,NaN,NaN,0
20,9.486616,13.023365,NaN,NaN,NaN,NaN,NaN,0
21,11.835639,5.652757,9.346391,9.179739,4.143730,2.549593,1.625252,1
22,11.048783,12.170913,NaN,NaN,NaN,NaN,NaN,0
23,11.274558,14.135631,NaN,NaN,NaN,NaN,NaN,0
24,7.433685,14.442339,NaN,NaN,NaN,NaN,NaN,0
25,9.180194,12.744743,NaN,NaN,NaN,NaN,NaN,0
26,9.514195,9.015055,NaN,NaN,NaN,NaN,NaN,0
27,10.423120,10.274447,NaN,NaN,NaN,NaN,NaN,0
28,7.629851,9.298707,NaN,NaN,NaN,NaN,NaN,0
29,5.154792,6.377777,15.842613,4.479907,2.143700,1.702199,1.259371,1
30,10.068698,9.010295,NaN,NaN,NaN,NaN,NaN,0
31,8.565479,7.737528,12.901017,6.591416,4.100119,2.534694,1.617599,1
32,11.853750,6.619274,NaN,NaN,NaN,NaN,NaN,0
33,8.998547,12.361839,NaN,NaN,NaN,NaN,NaN,0
34,8.424999,13.056975,NaN,NaN,NaN,NaN,NaN,0
35,9.211983,9.554617,NaN,NaN,NaN,NaN,NaN,0
36,8.434239,12.290040,NaN,NaN,NaN,NaN,NaN,0
37,6.500425,10.209989,17.133556,4.916924,4.111876,2.538723,1.619663,1
38,11.182810,9.712714,NaN,NaN,NaN,NaN,NaN,0
39,5.689292,14.806681,NaN,NaN,NaN,NaN,NaN,0
40,7.499510,11.654420,NaN,NaN,NaN,NaN,NaN,0
41,6.342415,12.081546,NaN,NaN,NaN,NaN,NaN,0
42,6.973102,12.259546,NaN,NaN,NaN,NaN,NaN,0
43,8.274675,13.835803,NaN,NaN,NaN,NaN,NaN,0
44,10.640049,7.666362,NaN,NaN,NaN,NaN,NaN,0
