,Altitude,,Temperature,,,Pressure,,Density,
H (m),Z (m),T (K),t (°C),TM (K),P (mb),P (torr),P/Po,P (kg/m3),p/po
-5000,-4996,320.65,47.5,"3,20,650",1.7768,1.3327,1.7536,1.9305,1.5759
-4950,-4946,320.325,47.175,"3,20,325",1.7674,1.3256,1.7443,1.9222,1.5691
-4900,-4896,320,46.85,320,1.758,1.3166,1.735,1.9139,1.5623
-4850,-4846,319.675,46.525,"3,19,675","17,486",1.3115,1.7257,1.9056,1.5556
-4800,-4796,319.35,46.2,"3,19,350",1.7393,1.3046,1.7165,1.8974,1.5489
-4750,-4746,319.025,45.875,"3,19,025",1.73,1.2976,1.7074,1.8892,1.5422
-4700,-4697,318.7,45.55,"3,18,700",1.7208,1.2907,1.6983,1.881,1.5355
-4650,-4647,318.375,45.225,"3,18,375",1.7116,1.2838,1.6892,1.8728,1.5289
-4600,-4597,318.05,44.9,"3,18,050",1.7024,1.2769,1.6801,1.8647,1.5222
-4550,-4547,317.725,44.575,317.725,1.6933,1.27,1.6711,1.8566,1.5156
-4500,-4497,317.4,"44,250","3,17,400","16,842",1.2632,1.6622,1.8486,1.509
-4450,-4447,317.075,43.925,317.075,1.6751,1.2564,1.6532,1.8405,1.5025
-4400,-4397,316.75,43.6,"3,16,750",1.6661,1.2497,1.6443,1.8325,1.4959
-4350,-4347,316.425,43.275,"3,16,425",1.6572,1.243,1.6355,1.8245,1.4894
-4300,-4297,316.1,42.95,316.1,1.6482,1.2363,1.6267,1.8166,1.4829
-4250,-4247,315.775,42.625,"3,15,775",1.6394,1.2296,1.6179,1.8006,1.4764
-4200,-4197,315.45,42.3,"3,15,450",1.6305,1.223,1.6092,1.8007,1.47
-4150,-4147,315.125,41.975,"3,15,125","16,217",1.2164,1.6005,1.7928,"14,635"
-4100,-4097,314.8,41.65,314.8,1.6129,1.2098,1.5918,1.785,1.4571
-4050,-4047,314.475,41.325,"3,14,475",1.6042,1.2032,1.5832,1.7771,1.4507
-4000,-3997,314.15,41,"3,14,150","15,955",1.1967,1.5746,1.7693,1.4444
-3950,-3948,313.825,40.675,"3,13,825",1.5868,1.1902,1.5661,1.7616,1.43
-3900,-3898,313.5,40.35,313.5,1.5762,1.1837,1.5576,1.7538,1.4317
-3850,-3848,313.175,40.025,313.175,1.5696,1.1773,1.5491,1.7461,1.4254
-3800,-3798,312.85,39.7,312.85,1.5611,1.1709,1.5407,1.7384,1.4191
-3750,-3748,312.525,39.375,"3,12,525",1.5526,1.1645,1.5323,1.7307,1.4124
-3700,-3698,312.2,39.05,312.2,1.5441,1.1502,1.5239,1.7231,1.4065
-3650,-3648,311.875,"36,725","3,11,875",1.5357,1.1519,1.5156,1.7154,1.4004
-3600,-3598,311.55,38.4,311.55,1.5273,1.1456,1.5073,1.7078,1.3942
-3550,-3548,311.225,38.075,"3,11,225",1.5189,1.1393,1.4991,1.7003,1.388
-3500,-3498,310.9,37.75,310.9,1.5106,1.1331,1.4909,1.6927,1.3818
-3450,-3448,310.575,37.425,310.575,1.5023,1.1268,1.4827,1.6852,1.3757
-3400,-3398,310.25,37.1,310.25,"14,941",1.1207,1.4746,1.6777,1.3696
-3350,-3348,309.925,36.775,"3,09,925","14,859",1.1145,1.4665,1.6703,1.3635
-3300,-3298,309.6,36.45,309.6,1.4777,1.1084,1.4584,1.6628,1.3574
-3250,-3248,309.275,36.125,309.275,1.4696,1.1023,1.4504,1.6554,1.3513
-3200,-3198,300.95,35.8,308.95,"14,615",1.0962,1.4424,1.648,1.3453
-3150,-3148,308.625,"35,475","3,08,625",1.4534,1.0901,1.4344,1.6406,1.3393
-3100,-3098,300.3,35.15,308.3,"14,454",1.0841,1.4265,1.6333,1.3333
-3050,-3049,307.975,34.825,"3,07,975",1.4374,1.0781,1.4186,1.626,1.3273
-3000,-2999,307.65,34.5,307.65,"14,295",1.0722,1.4108,1.6187,1.3214
-2950,-2949,307.325,"34,175",307.325,"14,215",1.0662,1.4029,1.6114,1.3155
-2900,-2899,307,33.85,307,1.4136,1.0603,1.3952,1.6042,1.3095
-2650,-2849,306.675,33.525,"3,06,675","14,058",1.0544,1.3874,1.597,1.3037
-2800,-2799,306.35,33.2,"3,06,350",1.398,1.0486,1.3797,1.5898,1.2978
-2750,-2749,306.025,32.875,306.025,1.3902,1.0427,1.372,1.5826,1.2919
-2700,-2699,305.7,32.55,"3,05,700",1.3825,1.0369,1.3644,1.5755,1.2861
-2650,-2649,305.375,32.225,"3,05,375",1.3748,1.0311,1.3568,1.5684,1.2003
-2600,-2599,305.05,31.9,305.05,1.3671,1.0254,1.3492,1.5613,"12,745"
-2550,-2549,304.725,31.575,"3,04,725",1.3594,1.0197,1.3417,1.5542,1.2687
-2500,-2499,304.4,31.25,"3,04,400",1.3518,1.014,1.3342,1.5472,1.263
-2450,-2449,304.075,30.925,"3,04,075",1.3443,1.0003,1.3267,1.5401,1.2573
-2400,-2399,303.75,30.6,303.75,1.3367,1.0026,1.3193,1.5332,1.2516
-2350,-2349,303.425,30.275,"3,03,425",1.3292,9.9705,1.3119,1.5262,1.2459
-2300,-2299,303.1,29.95,303.1,1.3218,9.9145,1.3045,1.5192,1.2402
-2250,-2249,302.775,29.625,"3,02,775",1.3143,9.8587,1.2972,1.5123,1.2345
-2200,-2199,302.45,29.3,"3,02,450",1.3069,9.8032,1.2899,1.5054,1.2269
-2150,-2149,302.125,28.975,302.125,1.2996,9.748,1.2826,1.4986,1.2233
-2100,-2099,301.8,28.65,301.8,1.2922,9.693,1.2753,1.4917,1.2177
-2050,-2049,301.475,28.325,301.475,"12,850",9.6383,1.2681,1.4849,1.2121
-2000,-1999,301.15,20,301.15,1.2777,9.5838,1.261,1.4781,1.2066
